"Species","Group","File","Ref_phylopic","Credit"
"Calonectris diomedea","1","1_Calonectris_diomedea.png","http://phylopic.org/image/a8ecc1e9-f339-4d85-84c3-aa2fff47b2c1/","Juan Carlos Jerí"
"Scurius vulgaris","2","2_Scurius_vulgaris.png","http://phylopic.org/image/2916f8fe-290a-423b-b6f7-fb975c30d518/","Andy Wilson"
"Larus argentatus","3","3_Larus_argentatus.png","http://phylopic.org/image/966db6c3-7719-400d-af61-a2d671b293b8/","Rebecca Groom"
"Apus apus","4","4_Apus_apus.png","http://phylopic.org/image/3e6b9118-7aff-4b64-8c95-38b2ee49d922/","Ferran Sayol"
"Acrocephalus","5","5_Acrocephalus.png","http://phylopic.org/image/67a9ecfd-58ba-44a4-9986-243b6e610419/","uncredited"
"Monticola saxatilis","6","6_Monticola_saxatilis.png","http://phylopic.org/image/14962f0a-c7db-4df2-89e3-6cfc593faed1/","Francesco \"Architetto\" Rollandin"
"Prunella collaris","7","7_Prunella_collaris.png","http://phylopic.org/image/88aeb901-6979-40a9-8991-b33dd8ac0a38/","Matt Wilkins"
"Emberiza cirlus","8","8_Emberiza_cirlus.png","http://phylopic.org/image/42fdc3cb-37fc-4340-bdf9-eed8e050137c/","L. Shyamal"
"Microtus arvalis","9","9_Microtus_arvalis.png","http://phylopic.org/image/f7d6d04c-73fa-4bf3-8c94-48134e6857b9/","uncredited"
"Mus spretus","10","10_Mus_spretus.png","http://phylopic.org/image/6b2b98f6-f879-445f-9ac2-2c2563157025/","Madeleine Price Ball"
"Buteo buteo","11","11_Buteo_buteo.png","http://phylopic.org/image/5c90ad4f-f3fc-4210-ad27-e8ea01f5c2f6/","Andy Wilson"
"Accipiter nisus","12","12_Accipiter_nisus.png","http://phylopic.org/image/92589388-08e3-422f-b452-aa7454411a9c/","Beth Reinke"
"Chlidonias niger","13","13_Chlidonias_niger.png","http://phylopic.org/image/06ae006e-1ad5-4f3d-ab40-f6d91ea24a7f/","terngirl"
"Natrix natrix","14","14_Natrix_natrix.png","http://phylopic.org/image/418e6939-dc41-4424-a646-5ba1fb276648/","V. Deepak"
"Meriones crassus","15","15_Meriones_crassus.png","http://phylopic.org/image/6b2b98f6-f879-445f-9ac2-2c2563157025/","Madeleine Price Ball"
"Talpa caeca","16","16_Talpa_caeca.png","http://phylopic.org/image/0465d81c-0def-4478-af15-a075d472e957/","Steven Traver"
"Lynx lynx","17","17_Lynx_lynx.png","http://phylopic.org/image/27a2173a-5903-46fc-83c5-29ed7f421046/","Margot Michaud"
"Falco columbarius","18","18_Falco_columbarius.png","http://phylopic.org/image/6cebf754-cb71-448d-a5bb-947157205264/","Liftarn"
"Nyctea scand","19","19_Nyctea_scandiaca","http://phylopic.org/image/ea71ef37-b1ce-428b-84d0-438d0d954f32/","xgirouxb"
